HOR	0	1
ABEFkH	2.715	1.362	7.017	0.920
ABEyCDEFGH	3.617	2.689	8.654	6.136
ABEyCDEyEyEFGH	0.359	0.692	5.706	0.113
ABEyEFGH	6.531	1.465	2.822	1.172
ABEyEz	1.346	1.421	2.178	1.977
ABEz	109.227	52.691	134.109	114.655
ADEFGH	8.487	1.289	2.300	2.732
ADEFGO	0.0	2.691	0.028	0.0
AFGH	7.690	4.773	9.902	12.597
AFGO	0.010	5.288	0.086	0.002
AH	2.409	0.714	1.454	0.374
AfGH	6.777	5.182	7.088	15.276
AyEFGH	5.754	6.364	8.898	11.247
AyEz	6.723	2.127	7.565	0.864
HOR	0	1	2	3
AB	7.259	5.113	10.036	11.957
ABCBEyCDEFGH	0.836	4.205	6.282	0.157
ABCDEF	10.143	3.858	1.267	2.835
ABCDEFGH	17300.244	40930.538	89895.742	8945.718
ABCDEFGO	21.265	148295.861	10456.058	2.081
ABCDEFGOGH	0.017	11.359	1.350	0.018
ABCDEFWO	0.000	4.944	0.109	0.000
ABCDEFkH	83.902	78.536	73.500	23.815
ABCDEfGO	0.515	121.891	7.345	0.644
ABCDEyCDEFGH	5.524	6.251	15.925	2.005
ABCDEyCDEyEFGH	27.342	12.444	19.025	2.883
ABCDEyEFGH	769.757	689.553	721.959	236.717
ABCDEyEFkH	8.280	5.866	7.636	3.800
ABCFGH	6.448	1.924	1.020	0.260
ABCH	0.693	3.622	12.315	0.563
ABCyEDEFGH	10.999	2.392	0.009	0.005
ABCyEFGH	113.770	30.281	5.846	1.279
ABCyEyEFGH	38.705	10.379	3.944	1.565
ABEF	6.602	3.613	7.499	8.668
ABEFGH	27843.883	42277.316	74012.061	61146.835
ABEFGhCDEFGH	3.648	4.027	3.715	6.225
ABEFkH	2.858	6.376	8.599	0.863
ABEyCDEFGH	3.717	5.097	7.283	3.737
ABEyCDEyEyEFGH	2.093	3.856	8.699	0.262
ABEyEFGH	18.672	2.366	1.553	2.038
ABEyEz	4.876	3.624	4.171	6.987
ABEz	362.613	645.215	551.519	618.807
ADEFGH	61.357	0.785	7.928	2.245
ADEFGO	0.0	5.460	0.027	0.0
AFGH	20.584	16.638	20.734	28.764
AFGO	0.009	6.072	0.249	0.000
AH	7.832	0.921	0.936	0.217
AfGH	22.227	16.468	18.643	34.695
AyEFGH	58.579	83.508	114.242	135.254
AyEz	16.623	11.118	14.028	1.937
HOR	0	1	2	3	4
AB	1.298	1.808	3.614	2.294	2.452
ABCBEyCDEFGH	1.427	0.458	0.780	4.260	0.013
ABCDEF	2.188	2.267	1.245	1.069	0.719
ABCDEFGH	589.688	389.858	282.490	776.098	336.989
ABCDEFGO	4.31	2.561	1021.457	21.799	3.482
ABCDEFGOGH	0.082	0.054	8.296	0.603	0.021
ABCDEFWO	0.010	0.0	4.838	0.054	0.001
ABCDEFkH	42.217	24.852	9.249	26.733	8.486
ABCDEfGO	0.621	0.892	29.949	2.463	1.722
ABCDEyCDEFGH	7.220	3.895	1.894	9.299	1.517
ABCDEyCDEyEFGH	13.064	5.716	1.958	8.306	0.027
ABCDEyEFGH	109.342	56.481	20.402	70.895	7.322
ABCDEyEFkH	10.127	6.043	1.717	4.306	0.309
ABCFGH	6.399	2.463	0.811	1.491	0.094
ABCH	0.822	0.628	0.723	4.530	0.732
ABCyEDEFGH	5.616	0.524	0.472	0.017	0.0
ABCyEFGH	23.861	5.518	2.579	4.421	0.024
ABCyEyEFGH	14.666	7.702	1.559	1.289	0.0
ABEF	5.210	2.534	2.076	4.259	3.428
ABEFGH	635.114	686.614	382.580	940.989	979.823
ABEFGhCDEFGH	0.795	2.243	1.156	1.796	4.808
ABEFkH	4.462	2.281	1.362	7.009	0.665
ABEyCDEFGH	2.733	4.231	2.689	8.704	6.463
ABEyCDEyEyEFGH	1.233	0.220	0.692	5.914	0.001
ABEyEFGH	7.663	5.140	1.465	2.938	0.843
ABEyEz	0.630	1.488	1.421	2.236	2.148
ABEz	114.609	106.415	52.691	133.51	118.508
ADEFGH	11.907	6.205	1.289	2.024	2.792
ADEFGO	0.0	0.0	2.691	0.030	0.0
AFGH	3.809	8.813	4.773	9.945	13.626
AFGO	0.0	0.010	5.288	0.090	0.002
AH	5.454	1.201	0.714	1.428	0.290
AfGH	1.860	8.509	5.182	6.955	16.823
AyEFGH	1.973	6.588	6.364	9.096	12.567
AyEz	11.063	4.721	2.127	7.614	0.399
HOR	0	1	2	3	4
AB	0.819	9.551	5.113	10.383	12.090
ABCBEyCDEFGH	4.066	0.396	4.205	5.942	0.007
ABCDEF	2.707	10.440	3.858	0.845	3.342
ABCDEFGH	38821.699	11294.587	40930.538	88961.065	7080.018
ABCDEFGO	75.164	1.862	148295.861	10945.064	1.729
ABCDEFGOGH	0.017	0.020	11.359	1.412	0.019
ABCDEFWO	0.002	0.0	4.944	0.114	0.000
ABCDEFkH	74.337	47.786	78.536	63.380	4.601
ABCDEfGO	0.731	0.515	121.891	7.619	0.581
ABCDEyCDEFGH	6.190	3.224	6.251	16.241	0.431
ABCDEyCDEyEFGH	43.172	7.475	12.444	20.526	0.018
ABCDEyEFGH	769.200	284.908	689.553	635.330	7.832
ABCDEyEFkH	16.394	6.984	5.866	4.053	0.130
ABCFGH	11.158	2.318	1.924	0.995	0.060
ABCH	1.694	0.594	3.622	12.349	0.437
ABCyEDEFGH	17.928	1.565	2.392	0.009	0.0
ABCyEFGH	135.145	22.967	30.281	5.711	0.023
ABCyEyEFGH	45.372	31.813	10.379	4.932	0.0
